SIGARETTE;BENSON & HEDGES YELLOW;3015;210.0;3.0;2.0;4.2;0.2;4033100049095;4033100049101;10
SIGARETTE;ST. MORITZ MENTHOL;533;275.0;0.0;0.0;5.5;0.2;87217636;8721700982510;10
SIGARI;TOSCANELLO AROMA FONDENTE;2022;180.0;0.6;0.6;4.5;0.25;8059145100832;8027463288815;10
SIGARETTI;AGIO MINI MEHARI'S FILTER NATURAL 20;2751;86.0;1.0;1.0;4.3;0.5;8710622512080;8710622512110;10
SIGARETTE;LUCKY STRIKE BLUE;867;240.0;1.0;1.0;4.8;0.2;40313405;4031300010525;10
SIGARETTE;WINSTON AMBER 100'S;2385;225.0;0.0;0.0;4.5;0.2;4033100016097;4033100016103;10
TRINCIATI PER SIGARETTA;BLUES VIRGINIA BLEND 30GR;2491;180.0;0.0;0.0;5.4000006;0.3;8027463181666;NO;10
SIGARETTE;DIANA BIANCA;2208;225.0;4.0;4.0;4.5;0.2;80749684;8032817680276;10
SIGARETTE;MORE 120'S FILTER;467;265.0;1.0;1.0;5.3;0.2;40329956;4032900005157;10
TRINCIATI PER PIPA;CLAN AROMATIC;797;160.0;1.2;1.0;8.0;0.25;5712341134256;5712341134263;5
SIGARETTE;WINSTON AMBER;2384;225.0;2.0;2.0;4.5;0.2;4033100016066;4033100016073;10
SIGARETTE;MARLBORO GOLD ORIGINAL POCKET PACK;2658;240.0;1.0;1.0;4.8;0.2;80939184;8032817680627;10
SIGARETTI;MOODS MINI FILTER;2102;124.0;0.1;0.1;3.1;0.5;4004018001994;NO;20
TRINCIATI PER PIPA;COMUNE;265;110.0;0.4;0.2;4.4;0.4;8059145100030;8059145200037;10
SIGARETTI;BREAK BLUE;2735;68.0;1.1;1.1;3.4;0.5;8720400328345;NO;10
TRINCIATI PER SIGARETTA;CAMEL BLUE 20G;2711;180.0;2.4;2.0;3.6;0.2;5010175817490;5010175817506;10
SIGARETTE;JPS SILVER 100;2883;210.0;1.0;0.0;4.2;0.2;3258171940169;3258172940168;10
SIGARETTE;CAMEL FILTERS DA 10;377;240.0;0.0;0.0;2.4;0.2;40329659;4032900004518;20
SIGARETTE;BRERA;61;215.0;1.0;1.0;4.3;0.2;8027463100612;8027463200619;10
SIGARETTE;MS BIONDE;177;225.0;8.0;6.0;4.5;0.2;8027463101770;8027463201777;10
SIGARETTE;FORTUNA CELESTE;1276;215.0;0.0;0.0;4.3;0.2;8416000500778;8416000600331;10
TRINCIATI PER SIGARETTA;WEST RED;258;185.0;1.1;1.4;7.4;0.4;000040295480;NO;10
SIGARETTE;ROTHMANS OF LONDON BLU DA 10;2653;210.0;5.0;1.0;2.1;0.2;59460602;5948530003885;20
SIGARETTE;STOP K.S. FILTRO;660;225.0;3.0;3.0;4.5;0.2;8027463106607;8027463206604;10
TRINCIATI PER SIGARETTA;TILBURY AMERICAN BLEND;930;195.0;1.0;1.0;7.8;0.4;4002450220058;NO;10
TRINCIATI PER PIPA;MAC BAREN MIXTURE;346;150.0;2.4;2.2;7.5;0.25;5712342520652;5712342520102;5
SIGARETTE;MORE MENTHOL 120'S;445;265.0;1.0;1.0;5.3;0.2;40329963;4032900005164;10
SIGARETTE;WINSTON CLASSIC ;91;225.0;4.0;3.0;4.5;0.2;40329253;4032900005447;10
SIGARETTE;FORTUNA ONE;2100;215.0;0.0;0.0;4.3;0.2;8416000501249;8416000600911;10
SIGARETTE;MORE SPECIAL WHITES 120'S;860;265.0;1.0;1.0;5.3;0.2;40329864;4032900000558;10
SIGARETTE;CAMEL FILTERS;264;240.0;5.0;5.0;4.8;0.2;40329055;4032900000053;10
SIGARETTI;BREAK ORIGINAL;2734;68.0;0.6;0.2;3.4;0.5;8720400328338;NO;10
SIGARETTE;ELIXYR RED;1480;210.0;0.0;0.0;4.2;0.2;54503564;5450021008052;10
TRINCIATI PER SIGARETTA;DRUM YELLOW;430;185.0;0.9;0.9;7.4;0.4;8710900071186;NO;10
SIGARETTE;MS BIONDE SOFT;176;225.0;9.0;4.0;4.5;0.2;8027463101763;8027463201760;10
SIGARETTE;JPS BLUE 100;2288;210.0;1.0;0.0;4.2;0.2;3258171940152;3258172940151;10
SIGARETTE;YUMA ORGANIC;2430;225.0;0.0;0.0;4.5;0.2;5452002801720;NO;10
SIGARETTI;MOODS GOLDEN TASTE FILTER;1232;124.0;0.7;0.7;6.2;0.5;4004018202100;NO;10
TRINCIATI PER SIGARETTA;ROLL YOUR OWN VIRGINIA BLEND;2554;190.0;0.5;0.5;5.7000003;0.3;5707294093323;NO;10
SIGARETTE;BENSON & HEDGES WHITE;3016;210.0;2.0;2.0;4.2;0.2;5010175802250;4033100049132;10
SIGARI;TOSCANELLO AROMA CAFFE';1267;168.0;1.6;1.6;4.2;0.25;8059145100801;8027463299989;10
SIGARETTE;MARLBORO CORE FLAVOR KS;2373;240.0;1.0;1.0;4.8;0.2;80913306;8032817680405;10
